Tipo,Categoria,Subcategoria,Codigo,Medida,MovimientoStock,PedidosFinalizados,StockFisicoCalculado,StockFisico,StockFisicoDiferencia,StockReservadoCalculado,StockReservado,StockReservadodiferencia,PedidosCancelados
Plata,Anillos,Electro,142,Talle 10 = 21/22,0,0,0,0,0,0,0,0,3
Plata,Anillos,Electro,142,Talle 6 = 12/13,0,0,0,0,0,0,0,0,3
Plata,Anillos,Electro,142,Talle 7 = 14/15,0,0,0,0,0,0,0,0,2
Plata,Anillos,Electro,142,Talle 8 = 16/17,0,0,0,0,0,0,0,0,5
Plata,Anillos,Electro,142,Talle 9 = 18/20,1,0,1,1,0,0,0,0,4
Plata,Anillos,Electro,178,Talle 10 = 21/22,28,3,25,28,-3,0,0,0,26
Plata,Anillos,Electro,178,Talle 6 = 12/13,10,1,9,10,-1,0,0,0,9
Plata,Anillos,Electro,178,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,178,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,178,Talle 9 = 18/20,1,1,0,1,-1,0,0,0,0
Plata,Anillos,Electro,206,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,206,Talle 6 = 12/13,3,0,3,3,0,0,0,0,3
Plata,Anillos,Electro,206,Talle 7 = 14/15,5,0,5,5,0,0,0,0,5
Plata,Anillos,Electro,206,Talle 8 = 16/17,3,0,3,3,0,0,0,0,3
Plata,Anillos,Electro,206,Talle 9 = 18/20,1,0,1,1,0,0,0,0,1
Plata,Anillos,Electro,207,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,207,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,207,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,207,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,207,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,220,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,220,Talle 6 = 12/13,0,0,0,0,0,0,0,0,1
Plata,Anillos,Electro,220,Talle 7 = 14/15,3,0,3,3,0,0,0,0,2
Plata,Anillos,Electro,220,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,220,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,240,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,240,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,240,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,240,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,240,Talle 9 = 18/20,1,1,0,0,0,0,0,0,1
Plata,Anillos,Electro,269,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,269,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,269,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,269,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,269,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,287,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,287,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,287,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,287,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,287,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,288,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,288,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,288,Talle 7 = 14/15,2,0,2,2,0,0,0,0,2
Plata,Anillos,Electro,288,Talle 8 = 16/17,1,0,1,1,0,0,0,0,1
Plata,Anillos,Electro,288,Talle 9 = 18/20,1,0,1,1,0,0,0,0,1
Plata,Anillos,Electro,292,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,292,Talle 6 = 12/13,10,0,10,10,0,0,0,0,2
Plata,Anillos,Electro,292,Talle 7 = 14/15,15,0,15,15,0,0,0,0,2
Plata,Anillos,Electro,292,Talle 8 = 16/17,15,0,15,15,0,0,0,0,1
Plata,Anillos,Electro,292,Talle 9 = 18/20,10,1,9,9,0,0,0,0,1
Plata,Anillos,Electro,298,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,298,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,298,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,298,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,298,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,299,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,299,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,299,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,299,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,299,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,303,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,303,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,303,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,303,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,303,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,305,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,305,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,305,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,305,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,305,Talle 9 = 18/20,1,0,1,1,0,0,0,0,0
Plata,Anillos,Electro,326,Talle 10 = 21/22,4,0,4,4,0,0,0,0,0
Plata,Anillos,Electro,326,Talle 6 = 12/13,4,0,4,4,0,0,0,0,0
Plata,Anillos,Electro,326,Talle 7 = 14/15,3,0,3,3,0,0,0,0,0
Plata,Anillos,Electro,326,Talle 8 = 16/17,1,0,1,1,0,0,0,0,1
Plata,Anillos,Electro,326,Talle 9 = 18/20,6,0,6,6,0,0,0,0,0
Plata,Anillos,Electro,355,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,355,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,355,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,355,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,355,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,356,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,356,Talle 6 = 12/13,9,0,9,9,0,0,0,0,0
Plata,Anillos,Electro,356,Talle 7 = 14/15,13,0,13,13,0,0,0,0,0
Plata,Anillos,Electro,356,Talle 8 = 16/17,11,0,11,11,0,0,0,0,0
Plata,Anillos,Electro,356,Talle 9 = 18/20,9,2,7,7,0,0,0,0,0
Plata,Anillos,Electro,362,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,362,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,362,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,362,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,362,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,364,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,364,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,364,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,364,Talle 8 = 16/17,1,1,0,0,0,0,0,0,0
Plata,Anillos,Electro,364,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,407,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,407,Talle 6 = 12/13,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,407,Talle 7 = 14/15,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,407,Talle 8 = 16/17,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,407,Talle 9 = 18/20,0,0,0,0,0,0,0,0,0
Plata,Anillos,Electro,434,Talle 10 = 21/22,0,0,0,0,0,0,0,0,0
